Longitude,Latitude,x,y,PM25 Annual Ground,PM25 Winter Ground,PM25 Spring Ground,PM25 Summer Ground,PM25 Fall Ground,SO2 Annual Ground,SO2 Winter Ground,SO2 Spring Ground,SO2 Summer Ground,SO2 Fall Ground,NOX Annual Ground,NOX Winter Ground,NOX Spring Ground,NOX Summer Ground,NOX Fall Ground,NH3 Annual Ground,NH3 Winter Ground,NH3 Spring Ground,NH3 Summer Ground,NH3 Fall Ground,PM25 Annual 150m,PM25 Winter 150m,PM25 Spring 150m,PM25 Summer 150m,PM25 Fall 150m,SO2 Annual 150m,SO2 Winter 150m,SO2 Spring 150m,SO2 Summer 150m,SO2 Fall 150m,NOX Annual 150m,NOX Winter 150m,NOX Spring 150m,NOX Summer 150m,NOX Fall 150m,NH3 Annual 150m,NH3 Winter 150m,NH3 Spring 150m,NH3 Summer 150m,NH3 Fall 150m,PM25 Annual 300m,PM25 Winter 300m,PM25 Spring 300m,PM25 Summer 300m,PM25 Fall 300m,SO2 Annual 300m,SO2 Winter 300m,SO2 Spring 300m,SO2 Summer 300m,SO2 Fall 300m,NOX Annual 300m,NOX Winter 300m,NOX Spring 300m,NOX Summer 300m,NOX Fall 300m,NH3 Annual 300m,NH3 Winter 300m,NH3 Spring 300m,NH3 Summer 300m,NH3 Fall 300m
-85.9031,33,106,39,99981.2363428,120922.601391,83674.9619941,81681.6783198,113321.757414,20089.2109176,23141.1759101,25264.8333241,20783.6096597,10866.4803917,4210.32559493,10177.0666142,3802.43454663,1179.36291461,1630.46752142,68075.8368151,76185.8509052,65594.602008,69908.2133192,60548.992969,63424.7134565,86205.0432078,47096.7585226,43893.7976889,76191.2970527,20119.4886886,21594.8460035,26027.6417312,20557.6140124,11850.2816093,3117.91178038,7643.82267531,2609.34555012,781.00162038,1302.37072778,46928.9925549,57408.031444,39164.5224443,46704.0580649,44360.7295816,54070.7479829,72643.8862034,41916.5429768,38587.5576582,62824.2145572,19132.6396264,20559.9789732,25028.4463968,18317.1587732,12311.2837868,2831.09985633,6759.07915908,2380.65303804,903.432334953,1194.71857496,41764.1673334,49336.1937235,34457.4339353,42650.9022012,40383.9739986
-88.0575,30.7478,101,31,109245.694253,125149.449359,94235.3012455,96416.5962425,120706.963275,19996.679484,27394.1521048,23462.4921602,17825.0555607,10955.682051,3764.69853687,7853.52978386,4533.81532148,1406.55917236,1202.92429213,62478.1073802,79754.2591593,51807.7268085,61451.7214346,56818.5570794,67054.4800423,86962.2061695,51068.4779141,50545.4255923,79212.4881131,19624.1990536,25351.0288458,22286.1628055,18064.5678187,12250.7526619,2918.8619521,6654.88579747,3047.17242178,855.416761903,995.589679048,40243.8933649,55872.9041013,30865.0862044,32905.4557272,41290.5183152,56883.8573118,72759.6880063,45463.8340991,44417.7801794,64476.5894665,18800.8004152,23812.9542204,21511.5266262,17112.8054055,12376.8656765,2631.11379397,5840.2031172,2832.88644449,831.405963579,934.719397725,35314.8580729,47634.3699446,27413.1148263,30311.5502314,35875.6493681
-87.0597,33.6319,103,40,121770.336395,148034.226375,105966.019073,95511.694593,137342.719726,21808.9683884,24360.230635,28522.3646574,23506.1738329,10520.1089933,5398.55817007,11832.5641915,5950.88657035,2051.6930269,1703.75486861,81452.14373,100947.307928,78070.2252301,69410.1516448,77317.1588609,75379.1638705,102432.686029,58559.4682587,51922.1065748,88318.2351707,21853.6867188,22979.981464,28541.0633248,23692.8363535,11618.8696749,3787.78026949,8587.4249695,3912.63807649,1226.50530752,1295.16862833,55498.4194018,72432.1261899,47348.2460115,47025.3218397,55142.5186202,63583.0928007,84759.6252064,51520.4039596,45884.2212004,71888.4969023,20856.161687,23344.4195817,27441.7232831,20092.1849469,12222.3994938,3375.61373413,7555.75423961,3464.29325121,1207.85043352,1185.23599769,49276.0824255,59933.5153126,42048.1225744,45924.7248693,49021.7107586
-88.0299,31.2546,101,33,84981.647661,100075.751454,69443.6873652,71612.3058678,98521.6138575,19587.3858748,25599.0621725,22906.1663735,18761.4725679,10758.5954378,3569.59925923,7881.61960198,3966.88803213,1235.39124081,1141.86807219,49540.2636679,65290.8404969,37359.3018406,47193.7783599,48240.1265872,56146.5611888,76123.6686023,39886.6625345,39355.0825831,68827.5835273,19798.4498917,24632.5350567,22681.3039943,19009.0122116,12141.1264265,2743.72911556,6464.70967806,2683.99712176,764.740843297,941.768151893,35223.9454684,49240.9062177,25540.4777079,28794.3372815,37302.9094249,48376.4479611,64941.3399021,36048.6288198,34804.9466078,57318.7772972,19752.7805017,25804.3535405,21890.5516524,18443.8110811,12473.0321726,2498.76065938,5721.69528383,2493.46350491,844.90936237,854.158700579,32241.3718488,43621.6439357,23714.331921,27253.0631789,34305.7338886
-86.4767,31.4001,105,34,75926.278763,90056.5742192,62896.4056546,66336.3928995,84097.5400792,18414.3831854,23068.7679279,21689.6316811,17767.7342254,10827.9480008,3621.4103529,8602.96969196,3396.02608299,1153.3025706,1286.90249318,41682.8649071,54587.9813432,28528.1784427,40529.6325098,42992.4723854,51052.6298571,69347.6846806,36667.0434298,36445.2597722,61374.5602748,18803.8813787,21538.7058671,22919.4062099,18362.0615259,11948.4592029,2585.65901092,6103.93027395,2357.41571808,717.805424256,1023.38980879,30633.9322186,42515.8728646,20209.3833269,25862.1321168,33905.7723141,44215.8027947,59878.2542599,33216.3756626,32121.4659993,51268.4178257,18650.2993707,20503.7099207,22367.4002868,19017.9266901,12379.7255112,2379.07866282,5450.98867371,2204.43938646,876.129044524,899.964453241,28641.6009478,38350.0343426,19012.2874552,24829.9868333,32194.2255795
-87.0639,34.6397,102,43,131019.412144,153900.960066,114844.490049,107338.338759,147790.637971,22427.0264663,28486.8091208,26532.789143,22693.4625966,11664.3594133,6482.20375396,14554.9905099,6620.23039848,2261.9609583,2413.07607068,72841.6181204,98088.0090298,56539.3262152,51728.1680563,84913.3065336,79761.3367265,103582.753112,64018.0390111,57894.0933595,93356.5105047,22611.4528637,26083.4064808,27392.7931257,23764.6853983,12773.7079731,4677.44497523,10934.4380015,4433.87560659,1422.72165925,1774.73929655,53266.3724326,76150.1099851,37063.46264,36772.6032018,62916.8117782,67198.0722241,85667.4282963,56290.8324792,51090.0961468,75548.4696563,21813.3855833,24263.9004449,27043.1710869,22092.1667572,13489.8917174,4130.28666306,9428.85142449,3889.71224184,1402.18419716,1690.98514812,46972.8376116,62572.347674,33861.7260102,35939.3311533,55205.1005868
-85.0961,32.6094,108,38,98539.9176642,119903.761082,86544.4637179,80258.8933258,107006.043469,19499.8440421,22155.2205798,24991.4950929,19538.8655533,11012.867512,4199.61868825,10205.012361,3731.64450762,1175.08338901,1638.2430277,65638.9074764,73451.0776391,62223.9728296,70573.8864455,56213.3547108,62381.5342326,84916.6625448,48241.0377331,42804.6627439,73219.1120498,19718.7870566,20213.0478626,26621.9473477,19721.1126164,12015.6899402,3000.35843466,7203.37681051,2635.31768315,703.09767877,1315.85630431,43608.4500154,54049.4312873,36240.3515146,42678.6765952,41415.5589777,53194.8256074,71735.5052608,42884.043674,37484.4106573,60333.375545,18792.9337242,17980.1201712,25580.3651514,18893.7187746,12443.1732897,2741.6840058,6401.97698561,2425.36712056,869.583903241,1183.8080047,39180.1029382,46491.7104013,31682.399108,40499.6961859,37837.0638653
-86.5242,32.3102,104,36,85514.9702396,106888.974379,80580.455327,61470.9419508,92794.7208273,18182.5773683,22206.5200661,22969.1224788,16632.4568013,10462.2835449,4173.97620312,9979.27405005,3730.89591174,1530.36070926,1411.94879489,53773.4986888,63681.1353259,43010.8479742,60785.0176091,47487.9465785,55785.7920493,77770.2391119,44989.1672414,34194.2043505,65841.8098899,18793.9515826,20561.4749921,24614.5291744,17982.6373047,11655.5171287,2856.56238412,6969.83211085,2589.67795593,628.282568638,1105.89689551,36673.2398207,48086.8579597,27587.1941151,32962.7025108,37894.248615,48266.6805984,66381.674177,40161.3628441,30275.0990713,55897.8989333,18044.5232494,18895.8346848,23970.1556818,16813.0704319,12188.758729,2603.23091686,6188.16676857,2387.75995155,745.383485543,1004.39712176,35987.4054735,42092.7421698,25240.2126236,39720.9291901,36562.4425414
-86.7386,32.6503,104,37,86123.4116129,110546.509759,68894.3273588,65371.0260409,99387.1840903,20240.8530936,23252.1413923,26875.0600163,19299.5642625,11183.9204276,4082.70353873,10198.8078218,3452.56257896,1096.02641973,1534.98756533,58207.0556375,68130.4311198,60335.328074,52025.0559501,52277.5554752,56858.7997228,81867.733179,39208.4382209,36297.4224872,69717.549207,20315.6249663,21723.6091897,27264.9160002,19363.7200913,12431.4430686,2942.23260591,7422.1480288,2307.76081388,686.980711319,1222.91341341,41997.3970705,52733.6158344,37493.4919886,36197.1052729,41505.6057374,48957.6809104,69608.0066519,35196.6993078,32143.4655905,58538.1772015,19327.2490671,20700.6235873,26188.6090879,17319.8733843,12781.2278911,2676.39559977,6583.2811785,2125.6136993,787.390231671,1122.92139037,38496.5897265,46228.6408355,33287.6579677,34902.5597156,39312.6003092
-86.7386,32.6514,104,37,86123.4116129,110546.509759,68894.3273588,65371.0260409,99387.1840903,20240.8530936,23252.1413923,26875.0600163,19299.5642625,11183.9204276,4082.70353873,10198.8078218,3452.56257896,1096.02641973,1534.98756533,58207.0556375,68130.4311198,60335.328074,52025.0559501,52277.5554752,56858.7997228,81867.733179,39208.4382209,36297.4224872,69717.549207,20315.6249663,21723.6091897,27264.9160002,19363.7200913,12431.4430686,2942.23260591,7422.1480288,2307.76081388,686.980711319,1222.91341341,41997.3970705,52733.6158344,37493.4919886,36197.1052729,41505.6057374,48957.6809104,69608.0066519,35196.6993078,32143.4655905,58538.1772015,19327.2490671,20700.6235873,26188.6090879,17319.8733843,12781.2278911,2676.39559977,6583.2811785,2125.6136993,787.390231671,1122.92139037,38496.5897265,46228.6408355,33287.6579677,34902.5597156,39312.6003092
