fips,state_abbr,pollutant,model,season,elevated,damage
01017,AL,so2,EASIUR,annual,high stack,17188.79745510521242209240090208
01017,AL,nox,EASIUR,annual,high stack,2854.676704973450685228615773744
01017,AL,so2,EASIUR,winter,high stack,15313.21650978543313537626519163
01017,AL,nox,EASIUR,winter,high stack,6058.207306723629153718714495697
01017,AL,so2,EASIUR,spring,high stack,23858.33504065466199141822342211
01017,AL,nox,EASIUR,spring,high stack,2778.738433582395215472115961582
01017,AL,so2,EASIUR,summer,high stack,18380.95806566483890811822841439
01017,AL,nox,EASIUR,summer,high stack,1045.6279468131183965816925374624
01017,AL,so2,EASIUR,fall,high stack,11202.68020431560961955858149545
01017,AL,nox,EASIUR,fall,high stack,1536.133132774647733786007896845
01017,AL,so2,InMAP,annual,high stack,23808.70115369563222964098028062
01017,AL,nox,InMAP,annual,high stack,7888.599318537332034506110622077
01019,AL,so2,AP2,annual,high stack,20944.82796335057052085672357861
01019,AL,nox,AP2,annual,high stack,3568.072863130438942981588697314
01019,AL,so2,EASIUR,annual,high stack,19589.82134298958593620242096118
01019,AL,nox,EASIUR,annual,high stack,4046.291571157040045840991005938
01019,AL,so2,EASIUR,winter,high stack,18112.78481728974399791377537789
01019,AL,nox,EASIUR,winter,high stack,8105.650897648901189740996929668
01019,AL,so2,EASIUR,spring,high stack,26499.12286784308261965748300116
01019,AL,nox,EASIUR,spring,high stack,4331.801869725176237074914290487
01019,AL,so2,EASIUR,summer,high stack,21263.76898610176854874927169972
01019,AL,nox,EASIUR,summer,high stack,1493.4849366698441501823068066983
01019,AL,so2,EASIUR,fall,high stack,12483.60870072359556154000122358
01019,AL,nox,EASIUR,fall,high stack,2254.228580584267679586084979949
01019,AL,so2,InMAP,annual,high stack,33473.83703642705340357572021627
01019,AL,nox,InMAP,annual,high stack,10735.186465126826733446377287193
01021,AL,so2,AP2,annual,high stack,15109.659854291302752768621278918
01021,AL,nox,AP2,annual,high stack,2379.080136421256511133397099222
01021,AL,so2,EASIUR,annual,high stack,17979.88976092035728855182313775
01021,AL,nox,EASIUR,annual,high stack,2824.74264567396069257194427861
01021,AL,so2,EASIUR,winter,high stack,17334.80001766790706341092462394
01021,AL,nox,EASIUR,winter,high stack,6060.256459132237146900467312436
01021,AL,so2,EASIUR,spring,high stack,25274.46166297450081220975331054
01021,AL,nox,EASIUR,spring,high stack,2962.49088104507072387640797954
01021,AL,so2,EASIUR,summer,high stack,17705.17372423952597169091178833
01021,AL,nox,EASIUR,summer,high stack,973.27199969015428675773646416
01021,AL,so2,EASIUR,fall,high stack,11605.123638799510608590618082427
01021,AL,nox,EASIUR,fall,high stack,1302.9512428283775524141823074566
01021,AL,so2,InMAP,annual,high stack,23937.47476583170592213138803329
01021,AL,nox,InMAP,annual,high stack,8038.447387438411692701374826327
01023,AL,so2,AP2,annual,high stack,13103.024947259555176994848003925
01023,AL,nox,AP2,annual,high stack,2348.432385784926552388469714893
01023,AL,so2,EASIUR,annual,high stack,16190.07111911229691547499432144
01023,AL,nox,EASIUR,annual,high stack,2275.465502145504980881102508731
