"fips","windCF","solarCF"
8107,0.356818181818182,0.203539592786305
8109,0.279782608695652,0.225452839979904
8111,0.322,0.2064691497452
8113,0.264428571428571,0.221821537443828
8115,0.405,0.21265398340396
8117,0.477333333333333,0.200344950287771
8119,0.311481481481481,0.219471383901442
8121,0.377044444444444,0.22003938359984
8123,0.34744966442953,0.21567499266856
8125,0.385011494252874,0.218799283370288
9001,0.457615384615385,0.183997058583442
9003,0.473,0.181232789113044
9005,0.479405405405405,0.181076774672103
9007,0.406166666666667,0.184144382028505
9009,0.420428571428571,0.184015559007128
9011,0.441969696969697,0.184020386663335
9013,0.479416666666667,0.181212714359014
9015,0.469,0.181392576825195
10001,0.411045454545455,0.193043441079454
10003,0.398125,0.191018069460104
10005,0.446140350877193,0.19406035066192
11001,0,0.193411547208494
12001,0.302,0.218959596721974
12003,0.305,0.216866676678907
12005,0,0.219179558211781
12007,0.29,0.217893413310261
12009,0.341153846153846,0.226033349093261
12011,0.237285714285714,0.226059409300193
12013,0.274,0.215850144169397
12015,0.2484,0.231788308511747
12017,0.29,0.224225870104098
12019,0.314,0.217284572368308
12021,0.246666666666667,0.230116369829466
12023,0.283,0.217727267709257
12027,0,0.229172171408022
12029,0.306,0.222718894190137
12031,0.315315789473684,0.21769191461386
12033,0.313,0.216310375608829
12035,0.3155,0.219616782946347
12037,0.328857142857143,0.222833319912464
12039,0.265,0.217429976373782
12041,0.297,0.218821759532882
12043,0.258,0.230323526489719
12045,0.313833333333333,0.221083977500429
12047,0.264,0.217128957091552
12049,0.277,0.227741285405349
12051,0.263,0.229242270805056
12053,0.299,0.224093312437279
12055,0.245,0.227804478088549
12057,0.2905,0.228075777749585
12059,0.299,0.216180723915607
12061,0.307,0.225459735199805
12063,0.295,0.216566459676987
12065,0.28,0.219151450582622
12067,0.272,0.218431873728492
12069,0.271,0.222215129337046
12071,0.250666666666667,0.233607496842735
12073,0.265,0.218278803556847
12075,0.3195,0.223176508828957
12077,0.302,0.216133825919672
12079,0.267,0.217567483781916
12081,0.264,0.230241463545971
12083,0.286,0.219945841244383
12085,0.27,0.227877709626708
12086,0.272558823529412,0.22982076660571
12087,0.272444444444444,0.237149777681786
12089,0.351,0.217196182428651
12091,0,0.217016504086441
12093,0.277,0.228030334168945
12095,0.267,0.222804310931903
12097,0.262,0.224790301573981
12099,0.268739130434783,0.226863021299181
12101,0.297,0.225559039981128
12103,0.288916666666667,0.23317212824878
12105,0.267,0.225645215453109
12107,0.305,0.218361930725039
12109,0,0.219657291360407
12111,0,0.225975693277965
12113,0.345,0.216278328203988
12115,0.255,0.232432803877211
12117,0.261,0.221568064575111
12119,0.262,0.222572973452061
12121,0.274,0.217816652525723
12123,0.317833333333333,0.220977636124204
12125,0.279,0.217950294817742
12127,0.304,0.221324455654564
12129,0.297,0.219757838847017
12131,0,0.217221777624402
12133,0.291,0.215792465559454
13001,0.304,0.215809674356095
13003,0.324,0.216492904807149
13005,0.325,0.21632509836098
13007,0.292,0.217114445631096
13009,0,0.212778530923562
13011,0,0.209534182469717
13013,0.323,0.208365621886621
13015,0.405,0.204699360782692
13017,0.353,0.217083700333055
13019,0.351,0.217688499213273
13021,0.281,0.212660020634299
13023,0,0.214816585856306
13025,0.293,0.215960428617531
13027,0.336,0.217854845652094
13029,0.346,0.215395959841646
13031,0.342,0.214945022301256
13033,0.306,0.213514653360583
13035,0.332,0.210071691050212
13037,0.3,0.216538059087125
13039,0.329,0.217525908143006
